No.,Carry (yd),Roll (yd),Total (yd),Lateral (yd),Ball (mph),Spin (rpm),Spin Axis (deg),Launch V (deg),Launch H (deg),Time (s),Height (ft),Wind Speed (mph),Wind Direction (deg),Air Pressure (psi),Temperature (F),Humidity (%),Ball type
1,186.6,2.7,189.3,0,126,5500,0,18,0,6.5,105.6,-,-,14.69,77,50,Standard
2,82.8,8.5,91.3,0,75,5500,0,18,0,3.3,28.6,-,-,14.69,77,50,Standard
3,135.3,3.6,138.9,0,100,5500,0,18,0,4.9,60.6,-,-,14.69,77,50,Standard
4,230.8,2.2,233,0,150,5500,0,18,0,7.8,151.5,-,-,14.69,77,50,Standard
5,26.6,22.3,48.9,1.7 R,55,2201,26.8 R,9.8,2.2 R,1.1,3.7,-,-,14.69,77,50,Standard
6,72.5,6.2,78.7,1.6 L,67.2,4113,6.1 R,22.4,2.5 L,3.2,29.1,-,-,14.69,77,50,Standard
7,61.7,25.2,87,8 L,74.9,1872,23.7 L,12.2,4.9 L,2,11.5,-,-,14.69,77,50,Standard
8,61.7,25.2,87,8 L,74.9,1872,23.7 L,12.2,4.9 L,2,11.5,0,0,14.69,77,50,Standard
9,63.1,9.5,72.6,4.4 L,61.9,2601,4.5 L,23.4,3.3 L,2.8,24.6,0,0,14.69,77,50,Standard
10,68.8,19.8,88.7,2.4 R,71.6,1518,13.7 R,16.6,0.4 R,2.4,17.9,0,0,14.69,77,50,Standard
